id,text,upos,xpos,feats,head,deprel,span,lemma,expanded
1,הפחתת,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,24.0,nsubj,"(0, 5)",הפחתה,
2,משקל,NOUN,NOUN,Gender=Masc|Number=Sing,1.0,compound:smixut,"(6, 10)",משקל,
3,של,ADP,ADP,Case=Gen,4.0,case:gen,"(11, 13)",של,
4,תקרות,NOUN,NOUN,Gender=Fem|Number=Plur,2.0,nmod:poss,"(14, 19)",תקרות,
5,דרוכות,ADJ,ADJ,Gender=Fem|Number=Plur,4.0,amod,"(20, 26)",דרוך,
6,באמצעות,ADP,ADP,,7.0,case,"(27, 34)",באמצעות,
7,תכן,NOUN,NOUN,Gender=Masc|Number=Sing,1.0,nmod,"(35, 38)",תכן,
8,אופטימלי,ADJ,ADJ,Gender=Masc|Number=Sing,7.0,amod,"(39, 47)",אופטימלי,
9,של,ADP,ADP,Case=Gen,10.0,case:gen,"(48, 50)",של,
10,מיקומי,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Plur,7.0,nmod,"(51, 57)",מיקומים,
"(11, 12)",העמודים,,,,,,"(58, 65)",,"[{'id': 11, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 12, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 12, 'text': 'עמודים', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Plur', 'head': 10, 'deprel': 'compound:smixut', 'lemma': 'עמוד'}]"
"(13, 14)",ופריסת,,,,,,"(66, 72)",,"[{'id': 13, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 14, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 14, 'text': 'פריסת', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Fem|Number=Sing', 'head': 1, 'deprel': 'conj', 'lemma': 'פריסה'}]"
15,כבלי,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Plur,14.0,compound:smixut,"(73, 77)",כבל,
"(16, 17)",הדריכה,,,,,,"(78, 84)",,"[{'id': 16, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 17, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 17, 'text': 'דריכה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 15, 'deprel': 'compound:smixut', 'lemma': 'דריכה'}]"
18,תקציר,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,14.0,compound:smixut,"(85, 90)",תקציר,
19,תכן,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,18.0,compound:smixut,"(91, 94)",תכן,
20,מבנים,NOUN,NOUN,Gender=Masc|Number=Plur,19.0,compound:smixut,"(95, 100)",מבנה,
21,רבי,ADJ,ADJ,Definite=Cons|Gender=Masc|Number=Plur,20.0,amod,"(101, 104)",רב,
22,-,PUNCT,PUNCT,,21.0,punct,"(104, 105)",-,
23,קומות,NOUN,NOUN,Gender=Fem|Number=Plur,21.0,obl,"(105, 110)",קומה,
24,מעמיד,VERB,VERB,"Gender=Masc|HebBinyan=HIFIL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Act",0.0,root,"(111, 116)",העמיד,
25,בפני,ADP,ADP,,27.0,case,"(117, 121)",בפני,
"(26, 27)",המהנדסים,,,,,,"(122, 130)",,"[{'id': 26, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 27, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 27, 'text': 'מהנדסים', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Plur', 'head': 24, 'deprel': 'obl', 'lemma': 'מהנדס'}]"
28,אתגר,NOUN,NOUN,Gender=Masc|Number=Sing,24.0,obj,"(131, 135)",אתגר,
29,משמעותי,ADJ,ADJ,Gender=Masc|Number=Sing,28.0,amod,"(136, 143)",משמעותי,
30,מכיוון,SCONJ,SCONJ,,33.0,mark,"(144, 150)",מכיוון,
"(31, 32)",שהוא,,,,,,"(151, 155)",,"[{'id': 31, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 33, 'deprel': 'mark', 'lemma': 'ש'}, {'id': 32, 'text': 'הוא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Gender=Masc|Number=Sing|Person=3|PronType=Prs', 'head': 33, 'deprel': 'nsubj', 'lemma': 'הוא'}]"
33,מאופיין,VERB,VERB,"Gender=Masc|HebBinyan=PUAL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Pass",28.0,acl:relcl,"(156, 163)",אופיין,
34,על,ADP,ADP,,37.0,case,"(164, 166)",על,
35,-,PUNCT,PUNCT,,34.0,fixed,"(166, 167)",-,
36,ידי,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Plur,34.0,fixed,"(167, 170)",יד,
37,דרישות,NOUN,NOUN,Gender=Fem|Number=Plur,33.0,obl,"(171, 177)",דרישה,
38,סותרות,ADJ,ADJ,Gender=Fem|Number=Plur,37.0,amod,"(178, 184)",סותר,
39,:,PUNCT,PUNCT,,37.0,punct,"(184, 185)",:,
"(40, 41)",מצד,,,,,,"(186, 189)",,"[{'id': 40, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 41, 'deprel': 'case', 'lemma': 'מ'}, {'id': 41, 'text': 'צד', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 46, 'deprel': 'obl', 'lemma': 'צד'}]"
42,אחד,NUM,NUM,Gender=Masc|Number=Sing,41.0,amod,"(190, 193)",אחד,
43,",",PUNCT,PUNCT,,46.0,punct,"(193, 194)",",",
"(44, 45)",המבנים,,,,,,"(195, 201)",,"[{'id': 44, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 45, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 45, 'text': 'מבנים', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Plur', 'head': 46, 'deprel': 'nsubj', 'lemma': 'מבנה'}]"
46,נדרשים,VERB,VERB,"Gender=Masc|HebBinyan=NIFAL|Number=Plur|Person=1,2,3|VerbForm=Part|Voice=Mid",37.0,appos,"(202, 208)",נדרש,
"(47, 48)",לרמות,,,,,,"(209, 214)",,"[{'id': 47, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 48, 'deprel': 'case', 'lemma': 'ל'}, {'id': 48, 'text': 'רמות', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Fem|Number=Plur', 'head': 46, 'deprel': 'obl', 'lemma': 'רמה'}]"
49,אמינות,NOUN,NOUN,Gender=Fem|Number=Sing,48.0,compound:smixut,"(215, 221)",אמינות,
50,",",PUNCT,PUNCT,,49.0,punct,"(221, 222)",",",
51,בטיחות,NOUN,NOUN,Gender=Fem|Number=Sing,49.0,conj,"(223, 229)",בטיחות,
"(52, 53)",ותפקוד,,,,,,"(230, 236)",,"[{'id': 52, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 53, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 53, 'text': 'תפקוד', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 49, 'deprel': 'conj', 'lemma': 'תפקוד'}]"
54,גבוהות,ADJ,ADJ,Gender=Fem|Number=Plur,48.0,amod,"(237, 243)",גבוה,
55,;,PUNCT,PUNCT,,60.0,cc,"(243, 244)",;,
"(56, 57)",מצד,,,,,,"(245, 248)",,"[{'id': 56, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 57, 'deprel': 'case', 'lemma': 'מ'}, {'id': 57, 'text': 'צד', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 60, 'deprel': 'obl', 'lemma': 'צד'}]"
58,שני,NUM,NUM,Gender=Masc|Number=Sing,57.0,amod,"(249, 252)",שני,
59,",",PUNCT,PUNCT,,60.0,punct,"(252, 253)",",",
60,ישנה,VERB,VERB,"Gender=Fem|HebBinyan=NIFAL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Mid",33.0,conj,"(254, 258)",ישנה,
61,חשיבות,NOUN,NOUN,Gender=Fem|Number=Sing,60.0,nsubj,"(259, 265)",חשיבות,
62,עליונה,ADJ,ADJ,Gender=Fem|Number=Sing,61.0,amod,"(266, 272)",עליון,
"(63, 66)",להפחתה,,,,,,"(273, 279)",,"[{'id': 63, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 64, 'deprel': 'case', 'lemma': 'ל'}, {'id': 64, 'text': 'הפחה_', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Def|Gender=Fem|Number=Sing', 'head': 61, 'deprel': 'nmod', 'lemma': 'הפחה'}, {'id': 65, 'text': '_של_', 'upos': 'ADP', 'xpos': 'ADP', 'head': 66, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 66, 'text': '_היא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Fem|Number=Sing|Person=3|PronType=Prs', 'head': 64, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]"
67,של,ADP,ADP,Case=Gen,69.0,case:gen,"(280, 282)",של,
"(68, 69)",העלויות,,,,,,"(283, 290)",,"[{'id': 68, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 69, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 69, 'text': 'עלויות', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Plur', 'head': 64, 'deprel': 'nmod:poss', 'lemma': 'עלות'}]"
"(70, 71)",ושל,,,,,,"(291, 294)",,"[{'id': 70, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 73, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 71, 'text': 'של', 'upos': 'ADP', 'xpos': 'ADP', 'feats': 'Case=Gen', 'head': 73, 'deprel': 'case:gen', 'lemma': 'של'}]"
"(72, 73)",ההשפעה,,,,,,"(295, 301)",,"[{'id': 72, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 73, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 73, 'text': 'השפעה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 64, 'deprel': 'conj', 'lemma': 'השפעה'}]"
