title,last_name,first_name,year,"publisher",place,corpus_index,word_count,origin,medium,category,corpus_type
סקר טכנולוגיות בנייה למגורים בישראל מבנים בבנייה בסוף 2002,קון,גרשון,2004,"משרד הבינוי והשיכון והלשכה מהרכזית לסטטיסטיקה",ירושלים,1800024,2741,Born digital,Survey,משרד השיכון,IIA
מאפייני שוק המגורים בביתר עילית והמלצות למדיניות שיווק הקרקעות ביישוב,דגני,אבי,2004,"משרד הבינוי והשיכון",תל אביב,1800033,6099,Born digital,research,משרד השיכון,IIA
עלויות אי איכות בבניה למגורים בישראל,המכון הלאומי לחקר הבנייה,,2004,"משרד הבינוי והשיכון",חיפה,1800176,35607,Born digital,research,משרד השיכון,IIA
מדד עומק תיעוש הבניה למגורים,"ש. אנגל מהנדסים בעמ, י. ק תכנון כלכלי בעמ",,2004,"משרד הבינוי והשיכון",,1800018,11781,Born digital,research,משרד השיכון,IIA
הפחתת זיהום האוויר באמצעות תבניות שימושי קרקע וצורות בינוי המעודדות הליכה רכיבה על אופניים ושימוש בתחבורה ציבורית מהירה,גת,דניאל,2004,"המשרד להגנת הסביבה / המרכז לחקר העיר והאזור",,1400036,16362,Born digital,,המשרד להגנת הסביבה,IIA
דוח מסכם למענק מחקר בנושא - המדרך האקולוגי (Footprint Ecological) ככלי לאומדן השפעת הפעילות העירונית על משאבי הטבע ואיכות הסביבה,חיים," אברהם ",2004,"החוג לניהול משאבי טבע וסביבה - אוניברסיטת חיפה",,1400018,3108,Born digital,,המשרד להגנת הסביבה,IIA
קביעת קנה המידה המרחבי לניול שפכים חוצי גבולות - במקרה הישראלי פלשתינאי - דוח מסכם,פייטלסון,ערן,2004,"המשרד להגנת הסביבה",ירושלים,1400038,40317,Born digital,,המשרד להגנת הסביבה,IIA
השפעת חשיפת הציבור לרעש חזק באולמות שמחה - דוח מסכם,פריימוביץ,,2004,"המשרד להגנת הסביבה",,1400037,1264,Born digital,,המשרד להגנת הסביבה,IIA
בחינת מבנה תכניות המתאר בישראל,ורדי,רוני,2004,"הטכניון - מכון טכנולוגי לישראל",חיפה,1500001,18547,Born digital,Thesis,תזות,IIA
"תקנות התכנון והבניה (פרסום הודעה על הפקדת תכנית על גבי שלט לפי סעיף 89א לחוק), תשסד-2004",,,2004,,,1900065,816,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (פטור מחובת התקנת מנגנון פיקוד שבת במעלית), תשסד-2004",,,2004,,,1900066,309,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (בקשה להרשאה להקמת מבנה דרך), תשסה-2004",,,2004,,,1900067,633,Born digital,Statute,רגולציה,IIA
היבטים מישפטיים של בנייה גבוהה - הצורך בשינוי מדיניות,"אלתרמן ",רחל,2004,"המרכז לחקר העיר והאזור",חיפה,2300098,20837,Scanned,report,המרכז לחקר העיר והאזור,IIA
הכלים לשמירה על שטחים פתוחים - מה ניתן ללמוד ממדינות אחרות וליישם בישראל,אלתרמן,רחל,2004,"המרכז לחקר העיר והאזור",חיפה,2300186,30333,Scanned,report,המרכז לחקר העיר והאזור,IIA
שיקום אזורי תעשייה בישראל על ידי טיפול בנוף,בוקליס,לאוניד,2004,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000122,27196,Scanned,Thesis,תזות,IIA
"סביבת העבודה החדשה בישראל : מגדלי משרדים במע""ר לעומת גני תעשיות הידע בפרברים : המקרה של מטרופולין חיפה",בן משה,ציפי,2004,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000126,48804,Scanned,Thesis,תזות,IIA
גורמי הצלחה לשרידות הקיבוץ : תרומתה של המועצה האזורית להמשך קיומו של הקיבוץ כמסגרת יישובית ייחודית,דגני,עפרי,2004,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000133,23126,Scanned,Thesis,תזות,IIA
תחזוקה של בניינים גבוהים למגורים : חלופות לחלוקת נטל התחזוקה,הראל,חיה,2004,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000140,40525,Scanned,Thesis,תזות,IIA
"רעיונות בפרויקטים של סטודנטים בסטודיו האדריכלי : מקורותיהם, פיתוחם, תפקידיהם וסיווגם",טצה,דן,2004,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000144,47170,Scanned,Thesis,תזות,IIA
בתי מרחץ עות'מאניים בארץ ישראל ושימורם,ליזיק,נינה,2004,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000155,16307,Scanned,Thesis,תזות,IIA
סקר ביקורתי של תיאוריות ומתודולוגיות עכשוויות בתכנון דיגיטלי,מוסל,רונית,2004,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000159,27427,Scanned,Thesis,תזות,IIA
תוכנית כלל-ארצית לשידרוג והרחבה של בניינים קיימים - היתכנות כלכלית-הנדסית ראשונית,רוזנפלד,יחיאל,2003,"משרד הבינוי והשיכון",חיפה,1800080,34052,Born digital,research,משרד השיכון,IIA
מי נגר עירוני - ממטרד למשאב,נתיב,רונית,2003,"המשרד להגנת הסביבה",ירושלים?,1400039,6680,Born digital,,המשרד להגנת הסביבה,IIA
"תקנות התכנון והבניה (רישוי מיתקני גז טבעי), תשסג-2003",,,2003,,,1900061,2162,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (תדירות דיוני מוסד תכנון), תשסג-2003",,,2003,,,1900062,781,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (תסקירי השפעה על הסביבה), תשסג-2003",,,2003,,,1900063,2683,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי הדיון בקיום דיון חוזר במוסד תכנון), תשסג-2003",,,2003,,,1900064,425,Born digital,Statute,רגולציה,IIA
נגר עירוני בשכונות מגורים,בורמיל,שמואל,2003,"המרכז לחקר העיר והאזור",חיפה,2300152,23509,Scanned,report,המרכז לחקר העיר והאזור,IIA
מערכת הסעת המונים כמחולל שינויים אורבנים,בר-פלד,דגנית,2003,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000128,18459,Scanned,Thesis,תזות,IIA
"יחס תושבי חוף הכרמל לשטחים פתוחים : שמורות טבע, גנים לאומיים ויערות נטועים, באזורם וההשלכות לפיתוח אזורי בר קיימא",ברונשטין,עינת,2003,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000130,33602,Scanned,Thesis,תזות,IIA
לקראת ארכיטקטורה בעידן האקולוגי וצפיפות גוברת : פיתוח מודל אינטגרטיבי לבחינת והערכת גבולות הצפיפות ומדדי הרווחה,דץ,ליאור,2003,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000138,28251,Scanned,Thesis,תזות,IIA
תפקיד המוסדות הלאומיים בתכנון במגזר הערבי בישראל : חקירת מקרה אזור ואדי ערה (נחל עירון),ינאי,רחלה,2003,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000146,19502,Scanned,Thesis,תזות,IIA
אורבניזם בראי הקולנוע : בחינת גישות בעיצוב עירוני דרך ניתוח דמות העיר בסרטי מדע בדיוני,ליפקין,ורוניק,2003,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000157,45601,Scanned,Thesis,תזות,IIA
"שיקולי אקלים ואנרגיה בתכנון בתי ספר, באקלים החם והלח, של אזור רצועת החוף בישראל","פרץ ",יעל,2003,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000166,14956,Scanned,Thesis,תזות,IIA
מודל לבחירת חלופות למיגון אקוסטי באזורי מגורים,קובי,אלי,2003,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000167,16146,Scanned,Thesis,תזות,IIA
בעיות גז ראדון – 222 בנייה למגורים,קובלר,קונסטנטין,2002,"המכון הלאומי לחקר הבנייה",חיפה,1200017,435,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
מודל תכנון וחיזוי לענף הבנייה למגורים בישראל,ERCG קב' מחקר וייעוץ כלכלי,,2002,"משרד הבינוי והשיכון והלשכה מהרכזית לסטטיסטיקה",ירושלים,1800029,8773,Born digital,research,משרד השיכון,IIA
דוח סופי בנושא - הכנת אומדנים ותחזיות לתמהיל גדלי דירות (חדרים ושטח) שנדרש לבנות במשק בתקופות שונות בעתיד,גייר,דיוויד,2002,,,1800048,22576,Born digital,analytical report,משרד השיכון,IIA
מחקר לבדיקת מסלול מחיר למשתכן - דוח סופי,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800047,8409,Born digital,analytical report,משרד השיכון,IIA
סקר רוכשי דירות חדשות בנווה זאב - באר שבע,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800052,3714,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות בשכונת שחמון - אילת,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800062,3684,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה באור עקיבא,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800050,3271,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה בטירת הכרמל,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800054,3646,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה ביקנעם עילית,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800055,3715,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה בכרמיאל,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800056,3537,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה במגדל העמק,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800057,3818,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה במעלות,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800058,3651,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה בנתיבות,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800060,3320,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה בשדרות,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800061,3298,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שניה בשכונת רמות באר שבע,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800053,3732,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות חדשות ויד שנייה בנצרת עילית,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800059,3549,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות יד שניה בשכונות ג’ ו- ד’ בבאר שבע,משרד הבינוי והשיכון,,2002,"משרד הבינוי והשיכון",,1800051,3122,Born digital,Survey,משרד השיכון,IIA
שיפור האמינות של איתור ומיפוי חללים קרסטיים בקרבת יסודות באיזורי בנייה סלעיים באמצעות שיטת מכם חודר קרקע," פרידמן",ש.,2002,,חיפה,1800078,8034,Born digital,research,משרד השיכון,IIA
הפקת אגרגטים למשק הבנייה והסלילה בישראל בכרייה תת-קרקעית,אידלמן,עמיר,2002,"המשרד להגנת הסביבה",ירושלים?,1400035,3853,Born digital,,המשרד להגנת הסביבה,IIA
מיחזור של הריסות בניה מבטון וטיפול בפסולת בניה - דוח סופי - מאי 1998-אפריל 2001,זביצקי,יעקב,2002,"המשרד להגנת הסביבה",באר שבע?,1400034,7227,Born digital,,המשרד להגנת הסביבה,IIA
הקטנת שפיעת ראדון בממדים,מוינסטר,"מורי ",2002,"המשרד להגנת הסביבה",,1400033,4681,Born digital,,המשרד להגנת הסביבה,IIA
בעיית הגז ראדון - 222 בבנייה למגורים,פרבלוב,א.,2002,"המכון הלאומי לחקר הבנייה",,1400020,5115,Born digital,,המשרד להגנת הסביבה,IIA
"תקנות התכנון והבניה (סטיה ניכרת מתכנית), תשסב-2002",,,2002,,,1900026,2537,Born digital,Statute,רגולציה,IIA
התערבות הממשלה בשוק הדיור - היבטים תיאורטיים ןלקחי הניסיון המצטבר,בן שטרית,גילת,2002,"המרכז לחקר העיר והאזור",חיפה,2300096,16136,Scanned,report,המרכז לחקר העיר והאזור,IIA
היבטים והנחיות לתכנון דרכי נוף בישראל,"משגב ",אילה,2002,"המרכז לחקר העיר והאזור",חיפה,2300085,24929,Scanned,report,המרכז לחקר העיר והאזור,IIA
דיור בר-קיימא מבחינה תרבותית חקר מקרה - העיר עזה,"
ג'בארין",יוסף,2002,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000065,61250,Scanned,Thesis,תזות,IIA
תהליך השתנות הבית הערבי בגליל,עווד,פריד,2002,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000162,12740,Scanned,Thesis,תזות,IIA
טרמינל אווירי-ימי-יבשתי משולב במימי המפרץ חיפה,פלדבלום,איגנאט,2002,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000164,24202,Scanned,Thesis,תזות,IIA
מודל מחירי דירות למגורים,אקשטיין,צבי,2001,"משרד הבינוי והשיכון",תל אביב,1800037,4449,Born digital,research,משרד השיכון,IIA
מודל כלכלי-תמחירי של כדאיות המעבר לבניה מתועשת למגורים,ש. אנגל מהנדסים בעמ,,2001,"משרד הבינוי והשיכון","תל אביב ",1800019,8623,Born digital,research,משרד השיכון,IIA
"סקר ספרות, ניתוח והצעה להוראות בתכנית לטיפול במשטר רוחות באזורים עירוניים
",גולדרייך,יאיר,2001,"המשרד להגנת הסביבה",,1400032,6873,Born digital,,המשרד להגנת הסביבה,IIA
"תקנות התכנון והבניה (פטור מהיתר לעבודה לצורכי מרעה בקרקע חקלאית באזורים כפריים ותנאיו), תשסא-2001",,,2001,,,1900025,727,Born digital,Statute,רגולציה,IIA
דרכים חלופיות ומשלימות להשגת קרקע לצורכי ציבור ולבנייה למגורים ביישובי מיעוטים בישראל - הדגמה - יישובי הדרוזים בכרמל,ורנסקי,אריאלה,2001,"המרכז לחקר העיר והאזור",חיפה,2300011,8862,Scanned,report,המרכז לחקר העיר והאזור,IIA
תכנון עירוני רגיש למים - החדרת גשם למי התהום באמצעות עיצוב חצרות,כץ,שרון,2001,"המרכז לחקר העיר והאזור",חיפה,2300032,50463,Scanned,report,המרכז לחקר העיר והאזור,IIA
פתוח מול פיתוח - הפסד השטחים החקלאיים במדינת ישראל בשנות האלפיים,פרנקל,אמנון,2001,"המרכז לחקר העיר והאזור",חיפה,2300163,18642,Scanned,report,המרכז לחקר העיר והאזור,IIA
"תוכנית מתאר מחוזית מחוז הצפון, מס' תממ 2, שינוי מס' 9 - הוראות התכנית",,,2001,"המרכז לחקר העיר והאזור",חיפה,2300006,3870,Scanned,Strategic planning,המרכז לחקר העיר והאזור,IIA
מחירי הדיור בישראל - גורמים והשפעות,בן שטרית,"גילת ",2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000059,34108,Scanned,Thesis,תזות,IIA
תקנת האבן ושימור בניית האבן בירושלים (תפקידו של חומר הבניין - אבן - בשימור אורבני),לובוביקוב-כץ,"אנה ",2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000060,16667,Scanned,Thesis,תזות,IIA
הערכת ההשפעות של פרוייקטים תחבורתיים על מחירי הקרקע,אבירם,חיים,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000061,38399,Scanned,Thesis,תזות,IIA
"מדיניות שימור הטבע בישראל: תהליך התהוות, מגמות וכיוונים לעתיד",טרופ,תמר,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000062,113657,Scanned,Thesis,תזות,IIA
צפיפות מגורים סובייקטיבית והקשר המגורים,"
מיטרני",מיכל,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000063,104598,Scanned,Thesis,תזות,IIA
תפקיד הרישות החברתי ומיקום מרחבי כגורמים להצלחת חברות היי-טק,סימונוביץ,חביאר,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000064,31513,Scanned,Thesis,תזות,IIA
"משך הייזום וההקמה של פרוייקט נדל'ן והגורמים המשפיעים עליו : הדגמה על מרחב התכנון של ""הוועדה המקומית לתכנון ובניה - השומרון""",גינת,לילך,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000132,13372,Scanned,Thesis,תזות,IIA
יריד המזרח 1934 וקידום הארכיטקטורה המודרנית בארץ ישראל,דוידי קונדה,סיגל,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000134,41239,Scanned,Thesis,תזות,IIA
חללים עירוניים חדשים : תפקידם ומקומם ברקמה העירונית,דינור,אסנת,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000136,34897,Scanned,Thesis,תזות,IIA
התחדשות עירונית בלב העיר תל-אביב הדגמה על רחוב שנקין,לוטן,רחל,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000152,21287,Scanned,Thesis,תזות,IIA
קביעת גדלי דירות בתכניות סטטוטוריות כאמצעי לסינון חברתי : אופן השימוש ובחינת חוקיותו,ליטבק כהן,הדס,2001,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000156,31208,Scanned,Thesis,תזות,IIA
ניתוח משווה - סקרי שוכרים ומשכירים יולי 1999,"א.נ.פ אפלייד אקונומיקס בע""מ מחקר וייעוץ בכלכלה, שיווק מדעי החברה",,2000,"משרד הבינוי והשיכון",תל אביב,1800041,1869,Born digital,analytical report,משרד השיכון,IIA
סיכום ממצאים מסקר אוכלוסיות השוכרים,"א.נ.פ אפלייד אקונומיקס בע""מ מחקר וייעוץ בכלכלה, שיווק מדעי החברה",,2000,"משרד הבינוי והשיכון",תל אביב,1800039,10605,Born digital,summary,משרד השיכון,IIA
סיכום ממצאים מסקר משכירי דירות,"א.נ.פ אפלייד אקונומיקס בע""מ מחקר וייעוץ בכלכלה, שיווק מדעי החברה",,2000,"משרד הבינוי והשיכון",תל אביב,1800040,3022,Born digital,summary,משרד השיכון,IIA
שק הדיור בשכירות פרטית בישראל - תמצית הממצאים,"א.נ.פ אפלייד אקונומיקס בע""מ מחקר וייעוץ בכלכלה, שיווק מדעי החברה",,2000,"משרד הבינוי והשיכון",תל אביב,1800042,5078,Born digital,summary,משרד השיכון,IIA
שוק הדיור בשכירות בישראל,אקשטיין,צבי,2000,"משרד הבינוי והשיכון",תל אביב,1800038,11145,Born digital,research,משרד השיכון,IIA
הביקוש למגורים במגזר החרדי,דגני,אבי,2000,"משרד הבינוי והשיכון",,1800034,19384,Born digital,research,משרד השיכון,IIA
סקר רוכשי דירות באלעד,משרד הבינוי והשיכון,,2000,"משרד הבינוי והשיכון",,1800063,3383,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות באשקלון,משרד הבינוי והשיכון,,2000,"משרד הבינוי והשיכון",,1800064,3504,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות בהר חומה ירושלים,משרד הבינוי והשיכון,,2000,"משרד הבינוי והשיכון",,1800049,2589,Born digital,Survey,משרד השיכון,IIA
סקר רוכשי דירות בשלומי,משרד הבינוי והשיכון,,2000,"משרד הבינוי והשיכון",,1800065,2518,Born digital,Survey,משרד השיכון,IIA
דוח סופי במחקר - מיפוי הפוטנציאל לבנייה אקלימית ירוקה באזורי מדינת ישראל לפי חוזה 8-701,עציון,"יאיר ",2000,"המשרד להגנת הסביבה",,1400017,4026,Born digital,,המשרד להגנת הסביבה,IIA
פרדס חנה-כרכור - חלק ב' - תוכניות,אלתרמן,רחל,2000,"המרכז לחקר העיר והאזור",חיפה,2300187,94525,Scanned,strategic planning,המרכז לחקר העיר והאזור,IIA
תיעוד ושימור גנים ואתרי נוף היסטוריים בישראל,אניס,רות,2000,"המרכז לחקר העיר והאזור",חיפה,2300064,14820,Scanned,report,המרכז לחקר העיר והאזור,IIA
"איחוד רשויות מקומיות במקבץ בקעת אונו - בחינת ההשלכות של יישום ההמלצות לאיחוד רשויות בבקעת אונו, והצעת חלופות להגשמת מטרותיו של איחוד זה, בהתמקדות בסוגיית גבולות העיר רמת-גן",ורנסקי,אריאלה,2000,"המרכז לחקר העיר והאזור",חיפה,2300021,16769,Scanned,report,המרכז לחקר העיר והאזור,IIA
"בחינת הבנייה לגובה - כרך ד' - היבטים הנדסיים, מסקנות והמלצות",מן,אמיר,2000,"המרכז לחקר העיר והאזור",חיפה,2300198,42834,Scanned,report,המרכז לחקר העיר והאזור,IIA
שיקולים חזותיים בפיתוח מדיניות ניהול צמחייה בישראל,משגב,אילה,2000,"המרכז לחקר העיר והאזור",חיפה,2300090,6383,Scanned,report,המרכז לחקר העיר והאזור,IIA
שיקום אתר סילוק פסולת - הנחיות להתאמת סוג שטח פתוח,פרל,נועה,2000,"המרכז לחקר העיר והאזור",חיפה,2300129,11895,Scanned,report,המרכז לחקר העיר והאזור,IIA
סמיכות מגורים בין קבוצות חברתיות-כלכליות שונות בעקבות חידוש עירוני,ביליג,מרים,2000,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000054,71306,Scanned,Thesis,תזות,IIA
השפעתו של משרד הבינוי והשיכון על התפתחותה האורבנית של באר-שבע 1948-1999,שדר,הדס,2000,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000056,123102,Scanned,Thesis,תזות,IIA
מקבילות בין האדריכלות המודרנית ותפיסותיה לבין האדריכלות היפנית המסורתית ותפיסותיה : אדריכלות אירופית בין מלחמות העולם ואדריכלות הבית הטיפוסי והסוקיה ביפן,קרני,"עתליה ",2000,"הטכניון - מכון טכנולוגי לישראל",חיפה,2000057,48523,Scanned,Thesis,תזות,IIA
