כותר,שם משפחה מחבר,שם פרטי מחבר,שנת פרסום,"מו""ל",מקום פרסום,מספר מערכת בקורפוס,מספר מילים,ראשית,סוג מסמך,קטגוריה,קורפוס
"תקנות התכנון והבניה (תעודה בדבר תשלום היטל), תשמא-1981",,,1981,,,1900012,106,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (תשלום היטל השבחה על הקלה בדירת מגורים), תשמא-1981",,,1981,,,1900013,111,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי הדין בהליכים למתן צווים על פי המבקש בלבד), תשמג-1982",,,1982,,,1900014,649,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (מסירת מידע לשמאי מקרקעין), תשמה-1985",,,1985,,,1900015,229,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי נוהל בהתנגדויות לתכנית, סמכויות חוקר וסדרי עבודתו), תשמט-1989",,,1989,,,1900016,2049,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (פרטים נדרשים בתכנית להיתר על ידי מורשה להיתר), תשנב-1992",,,1992,,,1900017,165,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (חישוב שטחים ואחוזי בניה בתכניות ובהיתרים), תשנב-1992",,,1992,,,1900018,3315,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (טופס בקשה לתעודת מורשה להיתר), תשנב-1992",,,1992,,,1900019,143,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (בקשות להיתרי בניה שהכין מבקש תעודת מורשה להיתר), תשנב-1992",,,1992,,,1900020,100,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (דרך הגשת התנגדות להוראת שינוי לועדה למיתקנים בטחוניים), תשנב-1992",,,1992,,,1900021,144,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי הדין בועדות ערר), תשנו-1996",,,1996,,,1900022,1096,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (פטור סוגי בקשות מתחולת סעיף 149 לחוק), תשנו-1996",,,1996,,,1900023,268,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי הדין בועדות ערר בעררים לפי סעיף 198 לחוק), תשנח-1997",,,1997,,,1900024,1322,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (פטור מהיתר לעבודה לצורכי מרעה בקרקע חקלאית באזורים כפריים ותנאיו), תשסא-2001",,,2001,,,1900025,727,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סטיה ניכרת מתכנית), תשסב-2002",,,2002,,,1900026,2537,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי דין בבקשה לפי סעיף 207 לחוק), תשסט-2008",,,2008,,,1900027,843,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (פטור מהיטל השבחה לעידוד חיזוק מבנים מפני רעידות אדמה) (הוראת שעה), תשסט-2008",,,2008,,,1900028,232,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי דין בבקשה להכרעה לפני שמאי מכריע או שמאי מייעץ), תשסט-2008",,,2008,,,1900029,1734,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (שכרו של שמאי מכריע ושמאי מייעץ), תשסט-2009",,,2009,,,1900030,1138,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (תכנית איחוד וחלוקה), תשסט-2009",,,2009,,,1900031,1828,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי דין בבקשות לעניין צו הריסה מינהלי), תשע-2010",,,2010,,,1900032,551,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (סדרי הדין בוועדות ערר בעררים לפי סעיף 14 לתוספת השלישית לחוק), תשעא-2010",,,2010,,,1900033,1278,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (פטור מהיתר לעבודה לצורך הקמת מיתקן שהייה למסתננים ותנאיו) (הוראת שעה), תשעב-2012",,,2012,,,1900034,1433,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (הכרזה על גבולות תחומיהם של אתרים בסביבה החופית של ים כנרת), תשעג-2013",,,2013,,,1900035,116,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (עבודות ומבנים הפטורים מהיתר), תשעד-2014",,,2014,,,1900036,6812,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (אישור מטרה ציבורית), תשעה-2014",,,2014,,,1900037,796,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (מיתקנים נלווים לקו תשתית תת-קרקעי), תשעה-2015",,,2015,,,1900038,674,Born digital,Statute,רגולציה,IIA
"חוק הליכי תכנון ובנייה להאצת הבנייה למגורים (הוראת שעה) (דיור בהישג יד להשכרה), תשעה-2015",,,2015,,,1900039,1272,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (תכנית הטעונה התייעצות עם פקיד היערות), תשעה-2015",,,2015,,,1900040,134,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (כללים בדבר גמול והוצאות לנציג בעל דעה מייעצת), תשעו-2015",,,2015,,,1900041,440,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (בניין הדרוש במישרין לצורך הקמתה של דרך או שימוש בה), תשעו-2016",,,2016,,,1900042,265,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (בעל דירה הרשאי להגיש תכנית בבית משותף), תשעו-2016",,,2016,,,1900043,1192,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (רישוי בנייה), תשעו-2016",,,2016,,,1900044,15534,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (משלוח הודעות והחלטות בדרך מקוונת), תשעז-2016",,,2016,,,1900045,364,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (כללים בדבר עיסוק מותר של שמאים מכריעים) 
(הוראת שעה),תשעז-2017",,,2017,,,1900046,217,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (מכוני בקרה, תנאי כשירות נוספים והכשרה של בקר מורשה בטיחות אש), תשעח-2018",,,2018,,,1900047,456,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (תנאי הכשירות וההכשרה של בקר הגא לעניין הרשות המוסמכת), תשעח-2018",,,2018,,,1900048,332,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (הקמת מכון בקרה ודרכי עבודתו), תשעח-2018",,,2018,,,1900049,13043,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (כשירות בקר מורשה להגנת הסביבה), תשעח-2018",,,2018,,,1900050,374,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (כשירות בקר מורשה בריאות), תשעח-2018",,,2018,,,1900051,463,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (ביצוע התאמות נגישות למוסד חינוך חדש), תשעט-2018",,,2018,,,1900052,2699,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (התקנת מיתקן גישה אלחוטית לתקשורת בשיטה התאית), תשעט-2018",,,2018,,,1900053,2059,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (הצללה בגן שעשועים), תשעט-2019",,,2019,,,1900054,540,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (תכן הבנייה) (תברואה), תשף-2019",,,2019,,,1900055,7486,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (תכן הבנייה) (אצירת אשפה), תשף-2019",,,2019,,,1900056,2273,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (תכן הבנייה) (בטיחות המשתמש), תשף-2019",,,2019,,,1900057,1480,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (תכן הבנייה) (אקוסטיקה), תשף-2019",,,2019,,,1900058,1086,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (רישום מגרש תלת-ממדי), תשף-2020",,,2020,,,1900059,507,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבנייה (תכן הבנייה) (בנייה בת-קיימה), תשף-2020",,,2020,,,1900060,960,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (רישוי מיתקני גז טבעי), תשסג-2003",,,2003,,,1900061,2162,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (תדירות דיוני מוסד תכנון), תשסג-2003",,,2003,,,1900062,781,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (תסקירי השפעה על הסביבה), תשסג-2003",,,2003,,,1900063,2683,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (סדרי הדיון בקיום דיון חוזר במוסד תכנון), תשסג-2003",,,2003,,,1900064,425,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (פרסום הודעה על הפקדת תכנית על גבי שלט לפי סעיף 89א לחוק), תשסד-2004",,,2004,,,1900065,816,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (פטור מחובת התקנת מנגנון פיקוד שבת במעלית), תשסד-2004",,,2004,,,1900066,309,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (בקשה להרשאה להקמת מבנה דרך), תשסה-2004",,,2004,,,1900067,633,Born digital,Statute,רגולציה,IIA
"תקנות התכנון והבניה (פטור מאגרה להגשת עררים לוועדת ערר לפי סעיף 198 לחוק), תשסז-2007",,,2007,,,1900068,221,Born digital,Statute,רגולציה,IIA
