id,text,upos,xpos,feats,head,deprel,span,lemma,expanded
1,השפעת,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,25.0,nsubj,"(0, 5)",השפעה,
2,גלי,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Plur,1.0,compound:smixut,"(6, 9)",גל,
"(3, 4)",הלם,,,,,,"(10, 13)",,"[{'id': 3, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 4, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 4, 'text': 'לם', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 2, 'deprel': 'compound:smixut', 'lemma': 'לם'}]"
"(5, 6)",הנוצרים,,,,,,"(14, 21)",,"[{'id': 5, 'text': 'ה', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 6, 'deprel': 'mark', 'lemma': 'ה'}, {'id': 6, 'text': 'נוצרים', 'upos': 'VERB', 'xpos': 'VERB', 'feats': 'Gender=Masc|HebBinyan=NIFAL|Number=Plur|Person=1,2,3|VerbForm=Part|Voice=Mid', 'head': 2, 'deprel': 'acl:relcl', 'lemma': 'נוצר'}]"
"(7, 8)",בפיצוץ,,,,,,"(22, 28)",,"[{'id': 7, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 8, 'deprel': 'case', 'lemma': 'ב'}, {'id': 8, 'text': 'פיצוץ', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 6, 'deprel': 'obl', 'lemma': 'פיצוץ'}]"
9,פנימי,ADJ,ADJ,Gender=Masc|Number=Sing,8.0,amod,"(29, 34)",פנימי,
10,בתוך,ADP,ADP,,11.0,case,"(35, 39)",בתוך,
11,מנהרת,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,8.0,nmod,"(40, 45)",מנהרת,
12,תשתית,NOUN,NOUN,Gender=Fem|Number=Sing,11.0,compound:smixut,"(46, 51)",תשתית,
13,על,ADP,ADP,,14.0,case,"(52, 54)",על,
14,פני,NOUN,NOUN,"Definite=Cons|Gender=Fem,Masc|Number=Plur",8.0,nmod,"(55, 58)",פנים,
"(15, 16)",הקרקע,,,,,,"(59, 64)",,"[{'id': 15, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 16, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 16, 'text': 'קרקע', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 14, 'deprel': 'compound:smixut', 'lemma': 'קרקע'}]"
"(17, 18)",ועל,,,,,,"(65, 68)",,"[{'id': 17, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 20, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 18, 'text': 'על', 'upos': 'ADP', 'xpos': 'ADP', 'head': 20, 'deprel': 'case', 'lemma': 'על'}]"
"(19, 20)",מנהרות,,,,,,"(69, 75)",,"[{'id': 19, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 20, 'deprel': 'case', 'lemma': 'מ'}, {'id': 20, 'text': 'נהרות', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Plur', 'head': 14, 'deprel': 'conj', 'lemma': 'נהרה'}]"
"(21, 23)",סמוכות,,,,,,"(76, 82)",,"[{'id': 21, 'text': 'סמוכות', 'upos': 'ADJ', 'xpos': 'ADJ', 'feats': 'Gender=Fem|Number=Plur', 'head': 20, 'deprel': 'amod', 'lemma': 'סמוך'}, {'id': 22, 'text': 'את', 'upos': 'ADP', 'xpos': 'ADP', 'feats': 'Case=Acc', 'head': 23, 'deprel': 'case', 'lemma': 'את'}, {'id': 23, 'text': '_היא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Gender=Fem|Number=Sing|Person=3|PronType=Prs', 'head': 20, 'deprel': 'nmod', 'lemma': 'הוא'}]"
24,תקציר,NOUN,NOUN,Gender=Masc|HebSource=ConvUncertainHead|Number=Sing,20.0,nmod,"(83, 88)",תקציר,
25,פותחה,VERB,VERB,Gender=Fem|Number=Sing|Person=3|Tense=Past,0.0,root,"(89, 94)",פתח,
"(26, 27)",שיטה,,,,,,"(95, 99)",,"[{'id': 26, 'text': 'ש', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 25, 'deprel': 'obj', 'lemma': 'ש'}, {'id': 27, 'text': 'יטה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 25, 'deprel': 'obj', 'lemma': 'נטה'}]"
"(28, 29)",להדמיית,,,,,,"(100, 107)",,"[{'id': 28, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 29, 'deprel': 'case', 'lemma': 'ל'}, {'id': 29, 'text': 'הדמיית', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Fem|Number=Sing', 'head': 27, 'deprel': 'nmod', 'lemma': 'הדמיה'}]"
"(30, 31)",התנהגות,,,,,,"(108, 115)",,"[{'id': 30, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 31, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 31, 'text': 'תנהגות', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 29, 'deprel': 'compound:smixut', 'lemma': 'תנהגה'}]"
32,של,ADP,ADP,Case=Gen,33.0,case:gen,"(116, 118)",של,
33,מנהרת,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,31.0,nmod:poss,"(119, 124)",מנהרת,
34,תשתית,NOUN,NOUN,Gender=Fem|Number=Sing,33.0,compound:smixut,"(125, 130)",תשתית,
"(35, 36)",מדופנת בפיצוץ,,,,,,"(131, 144)",,"[{'id': 35, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 36, 'deprel': 'case', 'lemma': 'מ'}, {'id': 36, 'text': 'דופנתטבפיצוץ', 'upos': 'NOUN', 'xpos': 'NOUN', 'head': 29, 'deprel': 'nmod', 'lemma': 'דופנתטבפיצוץ'}]"
37,פנימי,ADJ,ADJ,Gender=Masc|Number=Sing,36.0,amod,"(145, 150)",פנימי,
"(38, 41)",והשפעתו,,,,,,"(151, 158)",,"[{'id': 38, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 39, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 39, 'text': 'השפעה_', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Def|Gender=Fem|Number=Sing', 'head': 36, 'deprel': 'conj', 'lemma': 'השפעה'}, {'id': 40, 'text': '_של_', 'upos': 'ADP', 'xpos': 'ADP', 'head': 41, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 41, 'text': '_הוא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Masc|Number=Sing|Person=3|PronType=Prs', 'head': 39, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]"
42,על,ADP,ADP,,43.0,case,"(159, 161)",על,
43,פני,NOUN,NOUN,"Definite=Cons|Gender=Fem,Masc|Number=Plur",39.0,nmod,"(162, 165)",פנים,
"(44, 45)",הקרקע,,,,,,"(166, 171)",,"[{'id': 44, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 45, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 45, 'text': 'קרקע', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 43, 'deprel': 'compound:smixut', 'lemma': 'קרקע'}]"
"(46, 47)",ועל,,,,,,"(172, 175)",,"[{'id': 46, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 48, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 47, 'text': 'על', 'upos': 'ADP', 'xpos': 'ADP', 'head': 48, 'deprel': 'case', 'lemma': 'על'}]"
48,מנהרת,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,43.0,conj,"(176, 181)",מנהרת,
49,תשתית,NOUN,NOUN,Gender=Fem|Number=Sing,48.0,compound:smixut,"(182, 187)",תשתית,
50,סמוכה,ADJ,ADJ,Gender=Fem|Number=Sing,48.0,amod,"(188, 193)",סמוך,
"(1, 2)",השיטה,,,,,,"(1, 6)",,"[{'id': 1, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 2, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 2, 'text': 'שיטה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 4, 'deprel': 'obl', 'lemma': 'שיטה'}]"
3,מאפשרת,VERB,VERB,,0.0,root,"(7, 13)",מאפשרת,
4,לתאר,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,3.0,dep,"(14, 18)",תיאר,
5,את,ADP,ADP,Case=Acc,4.0,obj,"(19, 21)",את,
6,כל,DET,DET,Definite=Cons,4.0,obj,"(22, 24)",כול,
7,שלבי,NOUN,NOUN,Case=Gen,4.0,obj,"(25, 29)",שלב,
"(8, 9)",התהליך,,,,,,"(30, 36)",,"[{'id': 8, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 9, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 9, 'text': 'תהליך', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 7, 'deprel': 'compound:smixut', 'lemma': 'תהליך'}]"
10,:,PUNCT,PUNCT,,3.0,punct,"(36, 37)",:,
11,פיצוץ,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,3.0,dep,"(38, 43)",פיצוץ,
"(12, 13)",המטען,,,,,,"(44, 49)",,"[{'id': 12, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 13, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 13, 'text': 'מטען', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 4, 'deprel': 'compound:smixut', 'lemma': 'מטען'}]"
14,;,PUNCT,PUNCT,,3.0,punct,"(49, 50)",;,
15,התפשטות,NOUN,NOUN,,3.0,dep,"(51, 58)",התפשטות,
16,של,ADP,ADP,Case=Gen,3.0,dep,"(59, 61)",של,
17,גלי,NOUN,NOUN,,4.0,obj,"(62, 65)",גל,
18,הלם,NOUN,NOUN,,73.0,nsubj,"(66, 69)",הלם,
"(19, 20)",ושל,,,,,,"(70, 73)",,"[{'id': 19, 'text': 'ו', 'upos': 'CCONJ', 'xpos': 'CCONJ', 'head': 73, 'deprel': 'cc', 'lemma': 'ו'}, {'id': 20, 'text': 'של', 'upos': 'ADV', 'xpos': 'ADV', 'feats': 'Case=Gen', 'head': 3, 'deprel': 'dep', 'lemma': 'של'}]"
21,תוצרי,NOUN,NOUN,Definite=Cons,4.0,obj,"(74, 79)",תוצר,
"(22, 23)",הפיצוץ,,,,,,"(80, 86)",,"[{'id': 22, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 57, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 23, 'text': 'פיצוץ', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 4, 'deprel': 'compound:smixut', 'lemma': 'פיצוץ'}]"
24,בתוך,ADP,ADP,,4.0,dep,"(87, 91)",בתוך,
25,חלל,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,4.0,obj,"(92, 95)",חלל,
"(26, 27)",המנהרה,,,,,,"(96, 102)",,"[{'id': 26, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 9, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 27, 'text': 'מנהרה', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Sing', 'head': 4, 'deprel': 'compound:smixut', 'lemma': 'מנהרה'}]"
28,;,PUNCT,PUNCT,,3.0,punct,"(102, 103)",;,
29,אינטראקציה,NOUN,NOUN,,3.0,dep,"(104, 114)",אינטראקציה,
30,בין,ADV,ADV,,3.0,dep,"(115, 118)",בין,
