id,text,expanded,span,upos,xpos,feats,head,deprel,lemma
"(1, 2)",בתקנות,"[{'id': 1, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 2, 'deprel': 'case', 'lemma': 'ב'}, {'id': 2, 'text': 'תקנות', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Fem|Number=Plur', 'head': 0, 'deprel': 'root', 'lemma': 'תקנה'}]","(1, 7)",,,,,,
3,אלה,,"(8, 11)",PRON,PRON,Gender=Masc|Number=Plur|Person=3|PronType=Dem,2.0,det,אלה
4,-,,"(12, 13)",PUNCT,PUNCT,,6.0,punct,-
5,"""",,"(14, 15)",PUNCT,PUNCT,,6.0,punct,""""
6,הוראת,,"(15, 20)",NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,2.0,appos,הוראה
7,שינוי,,"(21, 26)",NOUN,NOUN,Gender=Masc|Number=Sing,6.0,compound:smixut,שינוי
8,"""",,"(26, 27)",PUNCT,PUNCT,,6.0,punct,""""
9,-,,"(28, 29)",PUNCT,PUNCT,,6.0,punct,-
"(10, 13)",כמשמעותה,"[{'id': 10, 'text': 'כ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 11, 'deprel': 'case', 'lemma': 'כ'}, {'id': 11, 'text': 'משמעות_', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Def|Gender=Fem|Number=Sing', 'head': 6, 'deprel': 'nmod', 'lemma': 'משמעות'}, {'id': 12, 'text': '_של_', 'upos': 'ADP', 'xpos': 'ADP', 'head': 13, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 13, 'text': '_היא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Fem|Number=Sing|Person=3|PronType=Prs', 'head': 11, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]","(30, 38)",,,,,,
"(14, 15)",בסעיף,"[{'id': 14, 'text': 'ב', 'upos': 'ADP', 'xpos': 'ADP', 'head': 15, 'deprel': 'case', 'lemma': 'ב'}, {'id': 15, 'text': 'סעיף', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 11, 'deprel': 'nmod', 'lemma': 'סעיף'}]","(39, 44)",,,,,,
16,175,,"(45, 48)",NUM,NUM,,15.0,nummod,175
"(17, 18)",לחוק,"[{'id': 17, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 18, 'deprel': 'case', 'lemma': 'ל'}, {'id': 18, 'text': 'חוק', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 15, 'deprel': 'nmod', 'lemma': 'חוק'}]","(49, 53)",,,,,,
19,;,,"(53, 54)",PUNCT,PUNCT,,21.0,cc,;
20,"""",,"(55, 56)",PUNCT,PUNCT,,21.0,punct,""""
21,זכאי,,"(56, 60)",AUX,AUX,"Gender=Masc|Number=Sing|Person=1,2,3|VerbType=Mod",22.0,aux,זכאי
22,להתנגד,,"(61, 67)",VERB,VERB,HebBinyan=HITPAEL|VerbForm=Inf,6.0,acl:relcl,התנגד
23,"""",,"(67, 68)",PUNCT,PUNCT,,21.0,punct,""""
