id,text,upos,xpos,feats,head,deprel,span,lemma,expanded
1,שדרוג,NOUN,NOUN,Definite=Cons|Gender=Masc|Number=Sing,5.0,nsubj,"(0, 5)",שדרוג,
2,הגנה,NOUN,NOUN,Gender=Fem|Number=Sing,1.0,compound:smixut,"(6, 10)",הגנה,
3,של,ADP,ADP,Case=Gen,4.0,case:gen,"(11, 13)",של,
4,מבנה,NOUN,NOUN,Gender=Masc|Number=Sing,1.0,nmod:poss,"(14, 18)",מבנה,
5,טמון,VERB,VERB,"Gender=Masc|HebBinyan=PAAL|Number=Sing|Person=1,2,3|VerbForm=Part|Voice=Act",0.0,root,"(19, 23)",טמן,
"(6, 7)",להשפעת,,,,,,"(24, 30)",,"[{'id': 6, 'text': 'ל', 'upos': 'ADP', 'xpos': 'ADP', 'head': 7, 'deprel': 'case', 'lemma': 'ל'}, {'id': 7, 'text': 'השפעת', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Fem|Number=Sing', 'head': 5, 'deprel': 'obl', 'lemma': 'השפעה'}]"
8,פיצוץ,NOUN,NOUN,Gender=Masc|Number=Sing,7.0,compound:smixut,"(31, 36)",פיצוץ,
9,קרוב,ADJ,ADJ,Gender=Masc|Number=Sing,8.0,amod,"(37, 41)",קרוב,
10,באמצעות,ADP,ADP,,11.0,case,"(42, 49)",באמצעות,
11,מערכת,NOUN,NOUN,Gender=Fem|Number=Sing,7.0,nmod,"(50, 55)",מערכת,
"(12, 13)",מכשלים,,,,,,"(56, 62)",,"[{'id': 12, 'text': 'מ', 'upos': 'ADP', 'xpos': 'ADP', 'head': 13, 'deprel': 'case', 'lemma': 'מ'}, {'id': 13, 'text': 'כשלים', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Plur', 'head': 11, 'deprel': 'nmod', 'lemma': 'כשל'}]"
14,היקפית,ADJ,ADJ,Gender=Fem|Number=Sing,11.0,amod,"(63, 69)",היקפי,
"(1, 3)",תקציר המחקר,,,,,,"(1, 12)",,"[{'id': 1, 'text': 'תקצירט', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Masc|Number=Sing', 'head': 0, 'deprel': 'root', 'lemma': 'תקצירט'}, {'id': 2, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 1, 'deprel': 'det:def', 'lemma': 'ה'}, {'id': 3, 'text': 'מחקר', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Gender=Masc|Number=Sing', 'head': 1, 'deprel': 'compound:smixut', 'lemma': 'מחקר'}]"
4,מציג פתרון,NOUN,NOUN,Gender=Masc|Number=Sing,1.0,compound:smixut,"(13, 23)",מציג פתרון,
5,של,ADP,ADP,Case=Gen,47.0,case:gen,"(24, 26)",של,
6,בע,NOUN,NOUN,Definite=Cons,4.0,compound:smixut,"(27, 29)",בע,
7,יית,NOUN,NOUN,Definite=Cons|Gender=Fem|Number=Sing,6.0,compound:smixut,"(29, 32)",יית,
"(8, 10)",אינטר,,,,,,"(33, 38)",,"[{'id': 8, 'text': 'אינטר', 'upos': 'PROPN', 'xpos': 'PROPN', 'head': 6, 'deprel': 'compound:smixut', 'lemma': 'אינטר'}, {'id': 9, 'text': 'את', 'upos': 'ADP', 'xpos': 'ADP', 'feats': 'Case=Acc', 'head': 6, 'deprel': 'case:acc', 'lemma': 'את'}, {'id': 10, 'text': '_הרא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Masc|Number=Sing|Person=2|PronType=Prs', 'head': 6, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]"
"(11, 11)",אק,,,,,,"(38, 40)",,"[{'id': 11, 'text': 'אק', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Cons|Gender=Masc|Number=Sing', 'head': 6, 'deprel': 'compound:smixut', 'lemma': 'אק'}]"
"(12, 14)",ציה,,,,,,"(40, 43)",,"[{'id': 12, 'text': 'צה_', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Def|Gender=Masc|Number=Sing', 'head': 11, 'deprel': 'compound:smixut', 'lemma': 'צה'}, {'id': 13, 'text': '_של_', 'upos': 'ADP', 'xpos': 'ADP', 'feats': 'Case=Gen', 'head': 14, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 14, 'text': '_היא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Fem|Number=Sing|Person=3|PronType=Prs', 'head': 12, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]"
15,בין,ADP,ADP,,16.0,case,"(44, 47)",בין,
16,קרקע,NOUN,NOUN,Gender=Fem|Number=Sing,11.0,nmod,"(48, 52)",קרקע,
17,יב,ADJ,ADJ,,16.0,compound:smixut,"(53, 55)",יב,
"(18, 19)",שה,,,,,,"(55, 57)",,"[{'id': 18, 'text': 'ש', 'upos': 'SCONJ', 'xpos': 'SCONJ', 'head': 44, 'deprel': 'mark', 'lemma': 'ש'}, {'id': 19, 'text': 'ה', 'upos': 'DET', 'xpos': 'DET', 'feats': 'PronType=Art', 'head': 20, 'deprel': 'det:def', 'lemma': 'ה'}]"
"(20, 22)",דחיסה,,,,,,"(58, 63)",,"[{'id': 20, 'text': 'דחיס_', 'upos': 'NOUN', 'xpos': 'NOUN', 'feats': 'Definite=Def|Gender=Masc|Number=Sing', 'head': 28, 'deprel': 'compound:smixut', 'lemma': 'דחיס'}, {'id': 21, 'text': '_של_', 'upos': 'ADP', 'xpos': 'ADP', 'feats': 'Definite=Def|Gender=Masc|Number=Sing', 'head': 22, 'deprel': 'case:gen', 'lemma': 'של'}, {'id': 22, 'text': '_היא', 'upos': 'PRON', 'xpos': 'PRON', 'feats': 'Case=Gen|Gender=Fem|Number=Sing|Person=3|PronType=Prs', 'head': 20, 'deprel': 'nmod:poss', 'lemma': 'הוא'}]"
